43878,Only Bikes and Accessories,4079.988,41.12,US pound
43879,Designated Distributors,21718.7639,592.26,US pound
43880,Primary Bike Distributors,15479.55,375.20,US pound
43881,Great Bicycle Supply,38816.8056,400.40,US pound
43882,Scratch-Resistant Finishes Company,2024.994,21.42,US pound
43883,Lease-a-Bike Shop,18320.6894,422.72,US pound
43884,Hardware Components,115696.3313,1124.96,US pound
43886,Finer Riding Supplies,17358.0101,415.65,US pound
43887,New Bikes Company,419.4589,19.79,US pound
43888,Wholesale Parts,14432.8174,364.22,US pound
43889,General Department Stores,2082.6748,21.42,US pound
43890,Serious Cycles,75191.9599,729.49,US pound
43891,Cross-Country Riding Supplies,32569.104,332.67,US pound
43892,Farthermost Bike Shop,16544.5461,472.82,US pound
43893,Acceptable Sales & Service,419.4589,19.42,US pound
43894,Some Discount Store,32492.604,334.19,US pound
43895,Vast Bike Sales and Rental,32459.9278,305.26,US pound
43896,Rental Bikes,4345.8268,171.62,US pound
43897,Resale Services,51235.0091,519.28,US pound
43898,Rewarding Activities Company,50948.9161,1385.83,US pound
43899,District Mall,11942.5965,303.31,US pound
43900,Consolidated Sales,34628.298,352.89,US pound
43901,Sturdy Toys,22717.5954,227.87,US pound
43902,eCommerce Bikes,52803.4477,475.42,US pound
43904,Swift Cycles,11361.2706,248.42,US pound
43905,General Associates,9880.2666,274.21,US pound
43906,The Gear Store,32971.323,333.90,US pound
43907,Leather and Vinyl Manufacturing,14660.3024,493.47,US pound
43908,Super Sports Store,2561.5408,17.30,US pound
43909,Year-Round Sports,25493.3215,230.79,US pound
43910,Every Bike Shop,19411.9336,518.94,US pound
43911,Thorough Parts and Repair Services,19734.8665,547.07,US pound
43912,Affordable Sports Equipment,13078.2699,319.60,US pound
43913,Journey Sporting Goods,36724.0974,374.44,US pound
43914,Brightwork Company,8152.776,83.67,US pound
43915,Handy Bike Services,4049.988,42.84,US pound
43916,Bold Bike Accessories,39450.7884,382.83,US pound
43917,Sure & Reliable Sporting Goods,21356.1593,489.04,US pound
44074,Painters Bicycle Specialists,844.1043,38.19,US pound
44075,Sports Commodities,26447.022,269.51,US pound
44076,Practical Bike Supply Company,4079.988,41.12,US pound
44077,Sundry Sporting Goods,6105.3293,186.97,US pound
44078,Metro Cycle Shop,28045.3358,266.49,US pound
44079,Leading Sales & Repair,25706.4831,762.69,US pound
44081,Rapid Bikes,37536.9632,350.14,US pound
44082,Greater Bike Store,2039.994,20.77,US pound
44083,Tandem Sales and Service,1362.3067,36.84,US pound
44084,Vinyl and Plastic Goods Corporation,8129.976,84.38,US pound
44085,Corner Bicycle Supply,20644.2343,416.00,US pound
44086,Vigorous Exercise Company,73761.5266,658.76,US pound
44087,More Bikes!,5007.72,34.60,US pound
44088,First Cycle Store,419.4589,19.42,US pound
44089,Two Wheels Cycle Store,2097.2945,96.28,US pound
44090,Genuine Bike Shop,6654.7023,172.62,US pound
44091,Finish and Sealant Products,4492.7043,73.86,US pound
44092,A Typical Bike Shop,4075.0341,128.31,US pound
44093,Stationary Bikes and Stands,10680.7251,307.34,US pound
44094,Certified Sports Supply,4079.988,40.70,US pound
44095,Safe Toys,42341.075,413.45,US pound
44096,Full-Service Bike Store,8129.976,82.96,US pound
44097,Good Bike Shop,6035.8246,163.73,US pound
44098,Global Plaza,16369.1545,167.12,US pound
44099,Racing Toys,12499.4471,170.00,US pound
44100,Fashionable Bikes and Accessories,81164.2329,771.86,US pound
44101,"Bike Goods ",9794.6422,104.80,US pound
44102,Touring Services,3513.9448,112.83,US pound
44103,Metal Processing Company,3814.3435,173.79,US pound
44104,Quick Delivery Service,4079.988,41.90,US pound
44105,Unique Bikes,6101.382,62.61,US pound
44106,Retirement Activities Association,419.4589,19.13,US pound
44107,Solid Bike Parts,16185.4292,450.34,US pound
44108,Distinctive Store,2169.0469,54.74,US pound
44109,Scooters and Bikes Store,13837.0855,331.10,US pound
44110,Riders Company,16667.3077,550.60,US pound
44111,Price-Cutter Discount Bikes,11641.3209,330.26,US pound
44112,General Cycle Storehouse,32444.904,329.19,US pound
44113,Trailblazing Sports,40510.3042,391.00,US pound
44114,Bicycle Outfitters,33478.9114,882.92,US pound
44115,Extended Bike Sales,66848.3878,636.62,US pound
44116,Elemental Sporting Goods,20351.34,210.09,US pound
44117,Modern Bike Store,12907.7717,343.77,US pound
44118,Sample Bike Store,3427.4236,113.61,US pound
44119,Small Bike Shop,49096.1075,505.89,US pound
44120,Paint Supply,26967.1293,245.35,US pound
44121,Downtown Hotel,64713.9547,611.98,US pound
44122,Distinctive Cycles Sales & Service,4064.988,41.48,US pound
44123,Metropolitan Sales and Rental,874.794,17.90,US pound
44124,Advanced Bike Components,15439.0357,450.19,US pound
44125,A Great Bicycle Company,2604.0653,72.38,US pound
44126,Central Discount Store,14263.458,146.05,US pound
44127,Golf and Cycle Store,91014.7853,842.25,US pound
44128,Reliable Brake Systems,18542.1726,186.91,US pound
44129,Larger Cycle Shop,55699.8037,1237.85,US pound
44130,Ultimate Bike Shop,35410.9983,341.29,US pound
44131,The Bike Mechanics,20514.2859,208.88,US pound
44132,Next-Door Bike Store,4049.988,42.84,US pound
44133,Excellent Riding Supplies,25686.5186,626.42,US pound
44281,World Bike Discount Store,419.4589,19.42,US pound
44282,Original Bicycle Supply Company,40341.1056,369.31,US pound
44283,"Health Spa, Limited",43749.2686,1193.41,US pound
44284,Latest Sports Equipment,87867.8426,899.78,US pound
44285,Capable Sales and Service,57739.7358,548.49,US pound
44286,Wheel Gallery,5538.5094,147.34,US pound
44287,Yellow Bicycle Company,16292.052,166.34,US pound
44288,Retail Mall,43803.1432,1103.94,US pound
44289,Historic Bicycle Sales,4082.088,40.70,US pound
44290,Vehicle Shop,3846.8825,130.47,US pound
44291,The Bike Shop,4509.8996,16.40,US pound
44292,Friendly Bike Shop,3432.6101,112.89,US pound
44293,Seventh Bike Store,23983.6988,508.95,US pound
44294,Red Bicycle Company,62068.8727,616.85,US pound
44295,Requisite Part Supply,9475.5306,323.01,US pound
44296,First Bike Store,32383.1098,540.13,US pound
44297,Trusted Catalog Store,10231.4699,105.51,US pound
44298,Superb Sales and Repair,27666.4493,518.23,US pound
44299,Separate Parts Corporation,31624.7504,497.74,US pound
44300,General Bike Corporation,7802.8815,243.69,US pound
44301,Area Bike Accessories,29479.3877,451.45,US pound
44302,Retail Toy Store,2146.962,14.42,US pound
44304,Sports Sales and Rental,37499.5521,365.35,US pound
44305,Better Bike Shop,18880.6522,176.88,US pound
44306,Bike Rims Company,18648.607,587.83,US pound
44307,Convenient Bike Shop,7758.1202,308.02,US pound
44308,"Great Bikes ",12372.7773,126.64,US pound
44309,Daring Rides,27612.424,538.15,US pound
44310,Simple Bike Parts,183.9382,2.50,US pound
44311,Curbside Universe,7349.9601,171.51,US pound
44312,Fifth Bike Store,2097.2945,97.67,US pound
44313,Weekend Tours,26037.0214,566.03,US pound
44314,Fitness Toy Store,42088.8187,888.62,US pound
44315,Grease and Oil Products Company,2597.0295,95.48,US pound
44316,Small Cycle Store,3785.5031,173.20,US pound
44317,Bike Dealers Association,33919.0748,898.72,US pound
44318,Clamps & Brackets Co.,21090.7731,208.58,US pound
44319,Juvenile Sports Equipment,34250.3603,341.14,US pound
44481,Basic Sports Equipment,26367.395,270.77,US pound
44482,Discount Bicycle Specialists,419.4589,20.00,US pound
44483,Alternative Vehicles,3018.3377,93.58,US pound
44484,Two-Wheeled Transit Company,8184.876,84.32,US pound
44485,Plastic Parts Company,4049.988,41.54,US pound
44486,First-Rate Outlet,603.3971,21.63,US pound
44487,Catalog Store,41868.906,405.98,US pound
44488,New and Used Bicycles,32857.407,552.51,US pound
44489,Suburban Cycle Shop,10288.1579,105.22,US pound
44490,Gasless Cycle Shop,3389.6981,156.51,US pound
44491,Tire Company,3427.4236,111.41,US pound
44492,Brakes and Gears,67458.9556,651.87,US pound
44493,Sunny Place Bikes,6476.0896,249.02,US pound
44494,Retail Sales and Service,28557.875,560.41,US pound
44495,Sharp Bikes,4076.388,42.19,US pound
44496,Non-Slip Pedal Company,29797.1606,573.58,US pound
44497,Professional Cyclists,1195.8158,42.10,US pound
44498,National Manufacturing,15432.4643,389.14,US pound
44499,Sixth Bike Store,12170.664,126.57,US pound
44500,Highway Bike Shop,4710.9421,216.27,US pound
44501,A Bike Store,19669.4111,539.72,US pound
44502,Exotic Bikes,17871.4452,457.72,US pound
44503,Field Trip Inc,3028.7107,93.58,US pound
44504,Tenth Bike Store,19985.7845,522.88,US pound
44505,Sparkling Paint and Finishes,34978.0589,343.78,US pound
44506,Qualified Sales and Repair Services,35651.0339,976.70,US pound
44507,Unified Sports Company,39244.3122,360.17,US pound
44508,Social Activities Club,4194.589,197.07,US pound
44509,Totes & Baskets Company,43615.4161,1027.15,US pound
44510,Roadway Supplies,1749.588,34.84,US pound
44511,Moderately-Priced Bikes Store,10160.1565,104.02,US pound
44512,Major Cycling,1677.8356,77.03,US pound
44513,Raw Materials Inc,43520.1264,410.65,US pound
44514,Permanent Finish Products,42563.6688,414.90,US pound
44515,Wholesale Bikes,5492.1791,251.83,US pound
44516,Parcel Express Delivery Service,419.4589,19.79,US pound
44517,Fun Times Club,24901.8424,495.99,US pound
44518,Tread Industries,126198.3362,1261.70,US pound
44519,Travel Systems,2146.962,14.42,US pound
44520,Preferred Bikes,57700.2263,1389.98,US pound
44521,Wire Baskets and Parts,26112.205,515.45,US pound
44522,Active Transport Inc.,26149.2498,496.89,US pound
44523,Outdoor Sports Supply,74394.4204,739.58,US pound
44524,Only Bikes and Accessories,4082.088,42.19,US pound
44525,Designated Distributors,41452.6462,836.87,US pound
44526,Primary Bike Distributors,16506.1424,411.14,US pound
44527,Scratch-Resistant Finishes Company,6127.782,62.90,US pound
44528,Great Bicycle Supply,108783.5872,1099.43,US pound
44529,Recommended Bicycles,419.4589,18.77,US pound
44530,Hardware Components,104958.8068,1001.28,US pound
44531,Lease-a-Bike Shop,22817.6077,533.02,US pound
44532,New Bikes Company,2146.962,15.00,US pound
44533,Finer Riding Supplies,19499.7922,578.81,US pound
44534,Serious Cycles,85982.4771,857.54,US pound
44535,Wholesale Parts,23590.8589,568.04,US pound
44536,Lots of Bikes Storehouse,722.5949,2.84,US pound
44538,Farthermost Bike Shop,57804.9674,1127.92,US pound
44539,General Department Stores,1450.8898,5.36,US pound
44540,Vast Bike Sales and Rental,38638.7462,369.48,US pound
44541,Some Discount Store,50827.1365,524.22,US pound
44542,Cross-Country Riding Supplies,16259.8654,165.20,US pound
44543,Largest Bike Store,367.8764,4.80,US pound
44544,Resale Services,20980.152,194.45,US pound
44545,Rental Bikes,9855.7761,342.19,US pound
44546,Metropolitan Manufacturing,1749.588,34.84,US pound
44547,Rewarding Activities Company,68958.1569,1436.57,US pound
44548,Alpine Ski House,419.4589,19.79,US pound
44549,Consolidated Sales,49036.5151,502.51,US pound
44550,District Mall,28672.9735,567.86,US pound
44551,Sturdy Toys,41097.6007,418.42,US pound
44552,eCommerce Bikes,97915.4075,948.60,US pound
44553,Metro Bike Mart,6074.982,61.05,US pound
44554,Nonskid Tire Company,722.5949,2.84,US pound
44555,General Associates,30095.1611,574.43,US pound
44556,The Gear Store,30593.8757,297.10,US pound
44557,Swift Cycles,28122.9884,511.46,US pound
44558,Super Sports Store,838.9178,39.58,US pound
44559,Leather and Vinyl Manufacturing,17451.416,407.09,US pound
44560,The Showroom,936.6567,4.44,US pound
44561,Year-Round Sports,42033.8061,395.29,US pound
44562,Every Bike Shop,19237.2798,528.11,US pound
44563,Thorough Parts and Repair Services,47716.8992,1000.45,US pound
44564,Affordable Sports Equipment,34537.2578,518.64,US pound
44565,Tough and Reliable Parts,2162.0111,76.64,US pound
44566,Journey Sporting Goods,38308.8583,382.34,US pound
44567,Brightwork Company,46957.8291,479.40,US pound
44568,Handy Bike Services,2254.9498,8.32,US pound
44569,Bold Bike Accessories,30635.5103,273.45,US pound
44570,Sure & Reliable Sporting Goods,58494.7906,928.80,US pound
44740,Painters Bicycle Specialists,6641.1311,230.34,US pound
44741,Sports Commodities,4079.988,42.55,US pound
44742,Leading Sales & Repair,40149.6431,1074.10,US pound
44743,Metro Cycle Shop,42254.5844,413.73,US pound
44744,Sundry Sporting Goods,29751.2786,554.22,US pound
44745,Rapid Bikes,26171.9347,227.75,US pound
44746,Greater Bike Store,14290.1984,146.34,US pound
44747,Tandem Sales and Service,10393.2366,296.70,US pound
44748,Mountain Toy Store,874.794,17.13,US pound
44749,Corner Bicycle Supply,45851.7478,1008.77,US pound
44750,Vigorous Exercise Company,88977.3784,795.77,US pound
44751,Finish and Sealant Products,477.8806,4.82,US pound
44752,Two Wheels Cycle Store,12962.4843,410.29,US pound
44753,More Bikes!,2292.5087,25.99,US pound
44754,Genuine Bike Shop,10830.1496,302.36,US pound
44755,A Typical Bike Shop,28416.3962,520.51,US pound
44756,Stationary Bikes and Stands,14008.6057,361.15,US pound
44757,Safe Toys,37591.6521,365.05,US pound
44758,Good Bike Shop,25618.7006,527.27,US pound
44759,Full-Service Bike Store,6135.9224,62.90,US pound
44760,Racing Toys,5202.6366,37.66,US pound
44761,Global Plaza,82101.9756,801.03,US pound
44762,Fashionable Bikes and Accessories,92832.3445,889.95,US pound
44763,"Bike Goods ",3356.1637,18.50,US pound
44764,Touring Services,2133.1707,76.05,US pound
44765,Metal Processing Company,5821.11,213.65,US pound
44766,Quick Delivery Service,4102.788,41.48,US pound
44767,Unique Bikes,30609.7234,315.82,US pound
44768,Solid Bike Parts,21596.2123,598.99,US pound
44769,Retirement Activities Association,183.9382,2.36,US pound
44770,Distinctive Store,10382.8636,297.67,US pound
44771,Scooters and Bikes Store,69681.6887,1132.70,US pound
44772,Riders Company,67369.2136,1172.62,US pound
44773,Price-Cutter Discount Bikes,20847.928,639.70,US pound
44774,General Cycle Storehouse,12455.2805,124.50,US pound
44775,Cycles and Scooters,2203.0738,54.74,US pound
44776,Trailblazing Sports,47370.7652,469.48,US pound
44777,Extended Bike Sales,99502.0328,957.00,US pound
44778,Bicycle Outfitters,42894.3431,1025.73,US pound
44779,Elemental Sporting Goods,32572.704,332.99,US pound
44780,Sample Bike Store,25631.9999,506.93,US pound
44781,Discount Tours,424.6454,19.42,US pound
44782,Modern Bike Store,29226.2517,555.43,US pound
44783,Small Bike Shop,29614.2125,294.52,US pound
44784,Famous Bike Sales and Service,2604.0653,73.77,US pound
44786,Distinctive Cycles Sales & Service,2342.1149,8.24,US pound
44787,Paint Supply,46173.7216,437.98,US pound
44788,Downtown Hotel,86796.1574,827.36,US pound
44789,Metropolitan Sales and Rental,776.3569,22.16,US pound
44790,The New Bike Store,838.9178,38.26,US pound
44791,Advanced Bike Components,14494.3943,420.41,US pound
44792,Central Discount Store,34753.5572,357.24,US pound
44793,A Great Bicycle Company,2133.1707,77.21,US pound
44794,Finer Parts Shop,4049.988,41.54,US pound
44795,Golf and Cycle Store,104111.5156,992.67,US pound
44796,Remarkable Bike Store,13673.8182,474.45,US pound
44797,Larger Cycle Shop,59944.5457,1432.53,US pound
44798,Reliable Brake Systems,33438.7697,335.38,US pound
44799,Ultimate Bike Shop,40706.7309,376.95,US pound
44800,The Bike Mechanics,17107.4924,170.72,US pound
44801,Excellent Riding Supplies,48156.2081,932.11,US pound
44802,Stylish Department Stores,4811.5349,169.79,US pound
45038,Original Bicycle Supply Company,27123.6534,246.92,US pound
45039,"Health Spa, Limited",27722.1591,701.72,US pound
45040,World Bike Discount Store,419.4589,19.42,US pound
45041,Synthetic Materials Manufacturing,419.4589,19.79,US pound
45042,Capable Sales and Service,40648.38,415.86,US pound
45043,Latest Sports Equipment,32576.7309,335.66,US pound
45044,Wheel Gallery,5056.7532,114.24,US pound
45045,Yellow Bicycle Company,14261.358,147.35,US pound
45046,Vehicle Shop,838.9178,38.19,US pound
45047,Retail Mall,39547.8476,1168.73,US pound
45048,Historic Bicycle Sales,6127.782,62.96,US pound
45049,Basic Bike Company,1379.5229,31.82,US pound
45050,The Bike Shop,4294.9438,28.83,US pound
45051,Friendly Bike Shop,3007.9647,94.06,US pound
45052,Red Bicycle Company,28409.916,291.58,US pound
45053,Seventh Bike Store,19314.9998,475.16,US pound
45054,Requisite Part Supply,13254.3593,452.54,US pound
45055,First Bike Store,19742.7832,417.15,US pound
45056,Trusted Catalog Store,38655.486,397.29,US pound
45057,Superb Sales and Repair,22233.0559,454.46,US pound
45058,General Bike Corporation,5488.8419,230.38,US pound
45059,Area Bike Accessories,31282.4841,528.70,US pound
45060,Separate Parts Corporation,23946.4874,487.77,US pound
45061,Better Bike Shop,73261.1513,755.99,US pound
45062,Bike Rims Company,15842.6258,355.20,US pound
45063,Convenient Bike Shop,11121.1886,379.22,US pound
45064,"Great Bikes ",53033.1921,547.46,US pound
45065,Daring Rides,24025.0455,504.82,US pound
45066,Simple Bike Parts,419.4589,19.79,US pound
45067,Curbside Universe,3091.8551,27.00,US pound
45068,Fifth Bike Store,2133.1707,76.50,US pound
45069,Weekend Tours,24552.133,456.23,US pound
45070,Fitness Toy Store,28091.4187,789.80,US pound
45071,Small Cycle Store,5980.0532,206.89,US pound
45072,Grease and Oil Products Company,2097.2945,97.84,US pound
45073,Riding Excursions,419.4589,19.13,US pound
45074,Bike Dealers Association,24030.5748,545.56,US pound
45075,Clamps & Brackets Co.,12231.264,125.80,US pound
45076,Juvenile Sports Equipment,8164.0029,83.80,US pound
45077,Sports Sales and Rental,18869.4615,161.03,US pound
45266,Catalog Store,24509.8281,239.68,US pound
45267,Alternative Vehicles,3463.2998,90.45,US pound
45268,First-Rate Outlet,838.9178,39.80,US pound
45269,Two-Wheeled Transit Company,2024.994,20.35,US pound
45270,New and Used Bicycles,28770.606,573.44,US pound
45271,Tire Company,5980.0532,208.26,US pound
45272,Gasless Cycle Shop,3775.1301,178.39,US pound
45273,Suburban Cycle Shop,40634.88,417.90,US pound
45274,Brakes and Gears,66993.8289,687.86,US pound
45275,Sunny Place Bikes,7166.6775,304.79,US pound
45276,Sharp Bikes,6089.982,62.96,US pound
45277,Retail Sales and Service,29534.9446,576.52,US pound
45278,Non-Slip Pedal Company,29200.519,508.69,US pound
45279,Professional Cyclists,1022.856,42.50,US pound
45280,National Manufacturing,12755.8756,379.13,US pound
45281,Field Trip Inc,1713.7118,55.61,US pound
45282,Sixth Bike Store,8156.376,84.38,US pound
45283,A Bike Store,28395.2187,508.20,US pound
45284,Tenth Bike Store,30015.7829,549.75,US pound
45285,Exotic Bikes,14919.3015,434.72,US pound
45286,Highway Bike Shop,3846.8825,133.95,US pound
45287,Social Activities Club,419.4589,19.79,US pound
45288,Qualified Sales and Repair Services,29754.1861,884.67,US pound
45289,Unified Sports Company,39750.1207,371.60,US pound
45290,Sparkling Paint and Finishes,33469.9041,321.47,US pound
45291,Totes & Baskets Company,54553.8443,1050.94,US pound
45293,Major Cycling,1677.8356,78.06,US pound
45294,Permanent Finish Products,34284.3135,324.09,US pound
45295,Moderately-Priced Bikes Store,16297.752,166.63,US pound
45296,Raw Materials Inc,24242.8711,224.17,US pound
45297,Wholesale Bikes,6435.3883,206.45,US pound
45298,Fun Times Club,15825.9667,484.92,US pound
45299,Wire Baskets and Parts,20432.4422,515.75,US pound
45300,Tread Industries,89704.272,877.38,US pound
45301,Preferred Bikes,26592.0719,804.03,US pound
45302,Active Transport Inc.,22217.4964,451.08,US pound
45303,Outdoor Sports Supply,20405.6746,208.62,US pound
45304,Only Bikes and Accessories,20324.94,210.18,US pound
45305,Designated Distributors,22912.7325,568.32,US pound
45306,Primary Bike Distributors,6112.4089,193.83,US pound
45307,Great Bicycle Supply,28547.1025,293.98,US pound
45308,Hardware Components,85994.8887,796.41,US pound
45309,Lease-a-Bike Shop,11924.1917,292.09,US pound
45310,Scratch-Resistant Finishes Company,14219.958,145.27,US pound
45311,Basic Sports Equipment,18296.346,187.53,US pound
45312,New Bikes Company,2345.7293,17.46,US pound
45313,Finer Riding Supplies,16789.0543,432.77,US pound
45314,Wholesale Parts,15022.5209,396.08,US pound
45315,Serious Cycles,51062.3928,468.43,US pound
45316,Transportation Options,2024.994,20.77,US pound
45317,Farthermost Bike Shop,61206.4782,1158.87,US pound
45318,Vast Bike Sales and Rental,29962.7965,270.43,US pound
45319,Cross-Country Riding Supplies,14234.958,146.21,US pound
45320,Some Discount Store,10192.77,106.16,US pound
45321,Resale Services,61189.0793,623.37,US pound
45322,Rental Bikes,13637.942,494.00,US pound
45323,Rewarding Activities Company,38693.8697,1132.09,US pound
45324,Alpine Ski House,838.9178,40.00,US pound
45325,Metropolitan Manufacturing,2588.5058,74.16,US pound
45326,District Mall,22730.7926,468.50,US pound
45327,Consolidated Sales,12176.364,124.79,US pound
45328,Sturdy Toys,63241.9485,650.02,US pound
45329,eCommerce Bikes,61800.9921,603.76,US pound
45331,General Associates,20148.682,453.42,US pound
45332,Swift Cycles,27877.4257,473.07,US pound
45333,Super Sports Store,4223.1928,75.26,US pound
45334,The Gear Store,51137.4115,523.99,US pound
45335,Leather and Vinyl Manufacturing,14048.0598,353.20,US pound
45336,Year-Round Sports,27311.6264,263.01,US pound
45337,Every Bike Shop,17669.0304,379.51,US pound
45338,Thorough Parts and Repair Services,57142.9416,980.78,US pound
45339,Affordable Sports Equipment,27763.7953,502.06,US pound
45340,Tough and Reliable Parts,2552.6296,94.76,US pound
45341,Journey Sporting Goods,34738.7355,357.40,US pound
45342,Brightwork Company,63037.614,651.67,US pound
45343,Bold Bike Accessories,20979.3465,186.60,US pound
45344,Sure & Reliable Sporting Goods,58114.5796,894.16,US pound
45516,Solid Bike Parts,19162.2381,331.52,US pound
45517,Painters Bicycle Specialists,9421.2681,261.27,US pound
45518,Sports Commodities,12179.964,125.80,US pound
45519,Practical Bike Supply Company,4064.988,41.48,US pound
45520,Leading Sales & Repair,31628.6282,711.65,US pound
45521,Metro Cycle Shop,19227.0555,177.06,US pound
45522,Sundry Sporting Goods,28786.2466,490.76,US pound
45523,Regional Manufacturing,1429.4086,5.36,US pound
45524,Rapid Bikes,36045.9181,347.30,US pound
45525,Tandem Sales and Service,7274.3061,245.97,US pound
45526,Greater Bike Store,6101.382,62.54,US pound
45527,Corner Bicycle Supply,54458.8986,1059.45,US pound
45528,Mountain Toy Store,2146.962,13.77,US pound
45529,Vigorous Exercise Company,97078.3155,922.42,US pound
45531,Two Wheels Cycle Store,4266.3414,152.04,US pound
45532,Genuine Bike Shop,6691.8242,249.38,US pound
45533,Rural Sales and Service,1258.3767,58.09,US pound
45534,Safe Toys,37592.0572,367.37,US pound
45535,Stationary Bikes and Stands,11256.8286,404.25,US pound
45536,A Typical Bike Shop,21442.984,554.00,US pound
45537,Certified Sports Supply,4049.988,40.70,US pound
45538,Good Bike Shop,21847.3938,512.29,US pound
45539,Full-Service Bike Store,28469.916,293.56,US pound
45540,Global Plaza,42756.174,437.27,US pound
45542,Fashionable Bikes and Accessories,56400.9317,556.29,US pound
45543,"Bike Goods ",735.7528,9.72,US pound
45544,Touring Services,3391.5474,134.59,US pound
45545,Metal Processing Company,8965.933,264.78,US pound
45546,Quick Delivery Service,12206.364,125.86,US pound
45547,Unique Bikes,40766.88,416.57,US pound
45548,Distinctive Store,7657.8888,286.88,US pound
45549,Scooters and Bikes Store,50762.7624,1119.36,US pound
45550,Riders Company,54979.9007,1086.81,US pound
45551,Cycles and Scooters,7274.3061,243.95,US pound
45552,Price-Cutter Discount Bikes,11136.742,278.77,US pound
45553,General Cycle Storehouse,69240.3932,708.66,US pound
45554,Trailblazing Sports,25517.4189,250.06,US pound
45555,Extended Bike Sales,65725.9222,645.85,US pound
45556,Bicycle Outfitters,22822.7804,803.17,US pound
45557,Sample Bike Store,32554.9324,544.61,US pound
45558,Elemental Sporting Goods,6104.982,62.12,US pound
45559,Discount Tours,1258.3767,59.70,US pound
45560,Small Bike Shop,56967.1318,585.98,US pound
45561,Modern Bike Store,25464.5848,492.59,US pound
